Scores:
|	| Prec 	| Rec 	| F1 	| Supp 	|
| NT "(((NP\\NP)/(NP\\	| 1.000	| 0.000	| 0.000	| 8	|
| NT ";"	| 1.000	| 0.000	| 0.000	| 80	|
| NT "((S\\NP)\\(S\\NP	| 0.000	| 0.000	| 0.000	| 237	|
| NT "S[ng]\\NP"	| 0.729	| 0.446	| 0.554	| 1002	|
| NT "(S[ng]\\NP)/NP"	| 0.335	| 0.796	| 0.472	| 382	|
| NT "(S\\NP)/(S\\NP)"	| 1.000	| 0.002	| 0.004	| 470	|
| NT "(NP\\NP)/PP"	| 1.000	| 0.000	| 0.000	| 28	|
| NT "PP"	| 0.868	| 0.672	| 0.758	| 922	|
| NT "PP/NP"	| 0.911	| 0.987	| 0.948	| 851	|
| NT "(S[dcl]\\NP)/(S[	| 1.000	| 0.000	| 0.000	| 354	|
| NT "(S[adj]\\NP)/(S[	| 0.176	| 0.763	| 0.286	| 169	|
| NT "S[dcl][conj]"	| 0.918	| 0.354	| 0.511	| 254	|
| NT "(N/N)\\(N/N)"	| 1.000	| 0.000	| 0.000	| 26	|
| NT "(NP\\NP)/(S[pss]	| 1.000	| 0.000	| 0.000	| 6	|
| NT "(S[pss]\\NP)/PP"	| 1.000	| 0.000	| 0.000	| 109	|
| NT "NP/NP"	| 1.000	| 0.000	| 0.000	| 174	|
| NT "(NP[nb]/N)\\NP"	| 0.978	| 0.757	| 0.853	| 519	|
| NT "(S[dcl]\\NP)/S[d	| 1.000	| 0.000	| 0.000	| 429	|
| NT "(S[dcl]\\NP)/S[e	| 1.000	| 0.000	| 0.000	| 171	|
| NT "S[em]"	| 0.986	| 0.509	| 0.671	| 283	|
| NT "S[em]/S[dcl]"	| 0.961	| 0.996	| 0.978	| 273	|
| NT "(S[dcl]\\NP)/PP"	| 1.000	| 0.000	| 0.000	| 235	|
| NT "((S[dcl]\\NP)/PP	| 0.265	| 0.848	| 0.404	| 66	|
| NT "(S[adj]\\NP)/PP"	| 1.000	| 0.000	| 0.000	| 124	|
| NT "(N/N)\\(S[adj]\\	| 1.000	| 0.000	| 0.000	| 9	|
| NT "N/S[em]"	| 1.000	| 0.000	| 0.000	| 52	|
| NT "(S[dcl]\\NP)/(S[	| 1.000	| 0.000	| 0.000	| 286	|
| NT "((S\\NP)\\(S\\NP	| 1.000	| 0.000	| 0.000	| 108	|
| NT "S[dcl]\\S[dcl]"	| 0.893	| 0.394	| 0.547	| 591	|
| NT "(S[dcl]\\S[dcl])	| 0.919	| 0.942	| 0.931	| 121	|
| NT "(S[adj]\\NP)\\NP	| 1.000	| 0.000	| 0.000	| 26	|
| NT "((S[adj]\\NP)\\N	| 1.000	| 0.000	| 0.000	| 1	|
| NT "(S[dcl]\\NP)/(S[	| 1.000	| 0.000	| 0.000	| 299	|
| NT "S/S"	| 0.745	| 0.043	| 0.081	| 961	|
| NT "(S/S)/NP"	| 0.332	| 1.000	| 0.499	| 316	|
| NT "(S/S)/S[dcl]"	| 1.000	| 0.000	| 0.000	| 109	|
| NT "(NP\\NP)/(S[dcl]	| 1.000	| 0.000	| 0.000	| 320	|
| NT "S\\S"	| 1.000	| 0.000	| 0.000	| 91	|
| NT "(S\\S)/NP"	| 1.000	| 0.000	| 0.000	| 18	|
| NT "(S\\NP)\\(S\\NP)	| 1.000	| 0.000	| 0.000	| 46	|
| NT "(S[b]\\NP)/(S[ps	| 1.000	| 0.000	| 0.000	| 101	|
| NT "(S[dcl]\\NP)/(S[	| 1.000	| 0.000	| 0.000	| 208	|
| NT "(S[to]\\NP)/(S[b	| 0.976	| 0.981	| 0.979	| 791	|
| NT "(S[b]\\NP)/(S[ng	| 1.000	| 0.000	| 0.000	| 39	|
| NT "(NP\\NP)/S[dcl]"	| 1.000	| 0.000	| 0.000	| 83	|
| NT "(S[dcl]\\NP)/(S[	| 1.000	| 0.000	| 0.000	| 411	|
| NT "S[pt]\\NP"	| 0.578	| 0.876	| 0.696	| 595	|
| NT "(S[pt]\\NP)/NP"	| 0.221	| 0.095	| 0.133	| 158	|
| NT "((S\\NP)\\(S\\NP	| 1.000	| 0.000	| 0.000	| 25	|
| NT "((S\\NP)\\(S\\NP	| 1.000	| 0.000	| 0.000	| 189	|
| NT "(S[pss]\\NP)/NP"	| 1.000	| 0.000	| 0.000	| 32	|
| NT "(S[b]\\NP)/(S[to	| 1.000	| 0.000	| 0.000	| 78	|
| NT "(S[b]\\NP)/PP"	| 1.000	| 0.000	| 0.000	| 178	|
| NT "((S[b]\\NP)/PP)/	| 0.388	| 0.943	| 0.550	| 70	|
| NT "((S\\NP)\\(S\\NP	| 1.000	| 0.000	| 0.000	| 58	|
| NT "((N/N)/(N/N))\\(	| 1.000	| 0.000	| 0.000	| 15	|
| NT "(S[pss]\\NP)/(S[	| 1.000	| 0.000	| 0.000	| 96	|
| NT "(N/N)/N[num]"	| 1.000	| 0.000	| 0.000	| 44	|
| NT "(S[b]\\NP)/(S[pt	| 1.000	| 0.000	| 0.000	| 29	|
| NT "(S[pt]\\NP)/(S[t	| 1.000	| 0.000	| 0.000	| 20	|
| NT "NP[expl]"	| 1.000	| 0.000	| 0.000	| 31	|
| NT "S[dcl]\\NP[expl]	| 1.000	| 0.000	| 0.000	| 29	|
| NT "(S[dcl]\\NP[expl	| 1.000	| 0.000	| 0.000	| 11	|
| NT "((S[dcl]\\NP[exp	| 1.000	| 0.000	| 0.000	| 10	|
| NT "(S[b]\\NP)/S[em]	| 1.000	| 0.000	| 0.000	| 21	|
| NT "((S[b]\\NP)/S[em	| 1.000	| 0.000	| 0.000	| 4	|
| NT "(S[ng]\\NP)/S[em	| 1.000	| 0.000	| 0.000	| 23	|
| NT "((S[dcl]\\NP[exp	| 1.000	| 0.000	| 0.000	| 2	|
| NT "(NP\\NP)/(S[dcl]	| 1.000	| 0.000	| 0.000	| 19	|
| NT "S[dcl]/NP"	| 1.000	| 0.000	| 0.000	| 101	|
| NT "S/(S\\NP)"	| 0.951	| 0.951	| 0.951	| 144	|
| NT "PP/(S[ng]\\NP)"	| 1.000	| 0.000	| 0.000	| 32	|
| NT "(((S\\NP)\\(S\\N	| 1.000	| 0.000	| 0.000	| 9	|
| NT "(S/S)/(S[ng]\\NP	| 1.000	| 0.000	| 0.000	| 8	|
| NT "((S/S)/(S[ng]\\N	| 1.000	| 0.000	| 0.000	| 4	|
| NT "(S[ng]\\NP)/PP"	| 1.000	| 0.000	| 0.000	| 74	|
| NT "(S[adj]\\NP)/(S[	| 1.000	| 0.000	| 0.000	| 61	|
| NT "(N/N)/(S[adj]\\N	| 1.000	| 0.000	| 0.000	| 4	|
| NT "(S[dcl]\\S[dcl])	| 1.000	| 0.400	| 0.571	| 140	|
| NT "(S[b]\\NP)/(S[ad	| 1.000	| 0.000	| 0.000	| 78	|
| NT "(S[pt]\\NP)/S[dc	| 1.000	| 0.000	| 0.000	| 12	|
| NT "(S/S)/(S/S)"	| 1.000	| 0.000	| 0.000	| 40	|
| NT "(S[pt]\\NP)/PP"	| 1.000	| 0.000	| 0.000	| 33	|
| NT "((S\\NP)\\(S\\NP	| 1.000	| 0.000	| 0.000	| 1	|
| NT "((N/N)\\(N/N))/N	| 1.000	| 0.000	| 0.000	| 8	|
| NT "((S\\NP)\\(S\\NP	| 1.000	| 0.000	| 0.000	| 67	|
| NT "(NP\\NP)/N"	| 1.000	| 0.000	| 0.000	| 112	|
| NT "(S[pt]\\NP)/(S[p	| 1.000	| 0.000	| 0.000	| 43	|
| NT "(S[adj]\\NP)/NP"	| 1.000	| 0.000	| 0.000	| 23	|
| NT "(S[ng]\\NP)/(S[p	| 1.000	| 0.000	| 0.000	| 21	|
| NT "(NP\\NP)/(S[ng]\	| 1.000	| 0.000	| 0.000	| 50	|
| NT "(S[ng]\\NP)/(S[a	| 1.000	| 0.000	| 0.000	| 18	|
| NT "((NP\\NP)/S[dcl]	| 1.000	| 0.000	| 0.000	| 15	|
| NT "(S[b]\\NP)/S[qem	| 1.000	| 0.000	| 0.000	| 10	|
| NT "S[qem]"	| 1.000	| 0.000	| 0.000	| 54	|
| NT "S[qem]/S[dcl]"	| 1.000	| 0.000	| 0.000	| 45	|
| NT "(S/S)\\NP"	| 1.000	| 0.000	| 0.000	| 13	|
| NT "S[em][conj]"	| 1.000	| 0.000	| 0.000	| 12	|
| NT "PP/PP"	| 1.000	| 0.000	| 0.000	| 15	|
| NT "LRB"	| 1.000	| 0.000	| 0.000	| 19	|
| NT "(S[pt]\\NP)/(S[a	| 1.000	| 0.000	| 0.000	| 25	|
| NT "(S[pt]\\NP)/(S[n	| 1.000	| 0.000	| 0.000	| 32	|
| NT "(S[ng]\\NP)/(S[t	| 1.000	| 0.000	| 0.000	| 77	|
| NT "(S[adj]\\NP)/S[e	| 1.000	| 0.000	| 0.000	| 7	|
| NT "((S[adj]\\NP)/S[	| 1.000	| 0.000	| 0.000	| 1	|
| NT "((S[b]\\NP)/(S[t	| 1.000	| 0.000	| 0.000	| 27	|
| NT "(NP\\NP)\\NP"	| 1.000	| 0.000	| 0.000	| 10	|
| NT "(S/S)\\(S/S)"	| 1.000	| 0.000	| 0.000	| 7	|
| NT "((S\\NP)\\(S\\NP	| 1.000	| 0.000	| 0.000	| 52	|
| NT "(((S\\NP)\\(S\\N	| 1.000	| 0.000	| 0.000	| 21	|
| NT "((S\\NP)\\(S\\NP	| 1.000	| 0.000	| 0.000	| 9	|
| NT "NP[thr]"	| 1.000	| 0.000	| 0.000	| 60	|
| NT "S[dcl]\\NP[thr]"	| 1.000	| 0.753	| 0.859	| 77	|
| NT "(S[dcl]\\NP[thr]	| 0.533	| 0.582	| 0.557	| 55	|
| NT "((S[b]\\NP)/(S[p	| 1.000	| 0.000	| 0.000	| 3	|
| NT "conj/conj"	| 1.000	| 0.000	| 0.000	| 30	|
| NT "S[b]\\NP[conj]"	| 1.000	| 0.000	| 0.000	| 53	|
| NT "(S[dcl]\\NP[thr]	| 1.000	| 0.000	| 0.000	| 3	|
| NT "((S[dcl]\\NP[thr	| 1.000	| 0.000	| 0.000	| 1	|
| NT "PP/(S[adj]\\NP)"	| 1.000	| 0.000	| 0.000	| 8	|
| NT "S[dcl]/S[dcl]"	| 1.000	| 0.000	| 0.000	| 54	|
| NT "(((S\\NP)\\(S\\N	| 1.000	| 0.000	| 0.000	| 2	|
| NT "(S[adj]\\NP)\\(S	| 1.000	| 0.000	| 0.000	| 65	|
| NT "((S[adj]\\NP)\\(	| 1.000	| 0.000	| 0.000	| 8	|
| NT "(S[dcl]\\NP[expl	| 1.000	| 0.000	| 0.000	| 5	|
| NT "((S[dcl]\\NP)/NP	| 1.000	| 0.000	| 0.000	| 22	|
| NT "((S\\NP)\\(S\\NP	| 1.000	| 0.000	| 0.000	| 3	|
| NT "S[inv]"	| 1.000	| 0.000	| 0.000	| 6	|
| NT "S[inv]/NP"	| 1.000	| 0.000	| 0.000	| 5	|
| NT "S[dcl]\\(S[adj]\	| 1.000	| 0.000	| 0.000	| 27	|
| NT "(S[dcl]\\(S[adj]	| 1.000	| 0.000	| 0.000	| 11	|
| NT "(S[to]\\NP)/NP"	| 1.000	| 0.000	| 0.000	| 25	|
| NT "(S[dcl]\\NP[expl	| 1.000	| 0.000	| 0.000	| 9	|
| NT "((S[b]\\NP)/(S[a	| 1.000	| 0.000	| 0.000	| 7	|
| NT "((S\\NP)/(S\\NP)	| 1.000	| 0.000	| 0.000	| 56	|
| NT "PP\\PP"	| 1.000	| 0.000	| 0.000	| 11	|
| NT "(PP\\PP)\\NP"	| 1.000	| 0.000	| 0.000	| 4	|
| NT "((NP\\NP)/(S[dcl	| 1.000	| 0.000	| 0.000	| 20	|
| NT "((S[dcl]\\NP)/S[	| 1.000	| 0.000	| 0.000	| 11	|
| NT "((S[pt]\\NP)/(S[	| 1.000	| 0.000	| 0.000	| 4	|
| NT "(S[adj]\\NP)/((S	| 1.000	| 0.000	| 0.000	| 2	|
| NT "((S[adj]\\NP)/((	| 1.000	| 0.000	| 0.000	| 1	|
| NT "((S\\NP)/(S\\NP)	| 1.000	| 0.000	| 0.000	| 2	|
| NT "((S\\NP)\\(S\\NP	| 1.000	| 0.000	| 0.000	| 11	|
| NT "(NP\\NP)\\(NP\\N	| 1.000	| 0.000	| 0.000	| 18	|
| NT "((NP\\NP)\\(NP\\	| 1.000	| 0.000	| 0.000	| 4	|
| NT "(S[pss]\\NP)/(S[	| 1.000	| 0.000	| 0.000	| 2	|
| NT "((S[adj]\\NP)\\(	| 1.000	| 0.000	| 0.000	| 42	|
| NT "(S\\NP)\\(((S\\N	| 1.000	| 0.000	| 0.000	| 6	|
| NT "((S\\NP)/(S[adj]	| 1.000	| 0.000	| 0.000	| 4	|
| NT "(S\\NP)\\((S\\NP	| 1.000	| 0.000	| 0.000	| 19	|
| NT "((S[adj]\\NP)\\(	| 1.000	| 0.000	| 0.000	| 1	|
| NT "(((S[adj]\\NP)\\	| 1.000	| 0.000	| 0.000	| 1	|
| NT "(S\\NP)\\(((S\\N	| 1.000	| 0.000	| 0.000	| 2	|
| NT "S[adj]\\NP[conj]	| 1.000	| 0.000	| 0.000	| 31	|
| NT "((S\\NP)\\(S\\NP	| 1.000	| 0.000	| 0.000	| 2	|
| NT "((S[dcl]\\NP)/(S	| 1.000	| 0.000	| 0.000	| 38	|
| NT "NP\\NP[conj]"	| 1.000	| 0.000	| 0.000	| 26	|
| NT "(S/S)/(S[asup]\\	| 1.000	| 0.000	| 0.000	| 1	|
| NT "S[asup]\\NP"	| 1.000	| 0.000	| 0.000	| 16	|
| NT "S[qem]/(S[dcl]/(	| 1.000	| 0.000	| 0.000	| 4	|
| NT "(S[qem]/(S[dcl]/	| 1.000	| 0.000	| 0.000	| 3	|
| NT "S[dcl]/(S[adj]\\	| 1.000	| 0.000	| 0.000	| 3	|
| NT "S[dcl]\\S[qem]"	| 1.000	| 0.000	| 0.000	| 5	|
| NT "(S[dcl]\\S[qem])	| 1.000	| 0.000	| 0.000	| 1	|
| NT "((S[dcl]\\S[qem]	| 1.000	| 0.000	| 0.000	| 2	|
| NT "(S[dcl]\\NP[expl	| 1.000	| 0.000	| 0.000	| 4	|
| NT "(S[pss]\\NP)/S[q	| 1.000	| 0.000	| 0.000	| 4	|
| NT "(N\\N)/NP"	| 1.000	| 0.000	| 0.000	| 9	|
| NT "((S\\NP)/(S\\NP)	| 1.000	| 0.000	| 0.000	| 19	|
| NT "((S\\NP)/(S\\NP)	| 1.000	| 0.000	| 0.000	| 2	|
| NT "(NP\\NP)/N[num]"	| 1.000	| 0.000	| 0.000	| 2	|
| NT "S[ng]\\NP[conj]"	| 1.000	| 0.000	| 0.000	| 21	|
| NT "S[dcl]\\(S[ng]\\	| 1.000	| 0.000	| 0.000	| 6	|
| NT "(S[dcl]\\(S[ng]\	| 1.000	| 0.000	| 0.000	| 3	|
| NT "((N/N)/(N/N))/((	| 1.000	| 0.000	| 0.000	| 3	|
| NT "((S/S)\\(S/S))/(	| 1.000	| 0.000	| 0.000	| 1	|
| NT "((S\\NP)\\(S\\NP	| 1.000	| 0.000	| 0.000	| 9	|
| NT "(S[pss]\\NP)/(S[	| 1.000	| 0.000	| 0.000	| 1	|
| NT "(S[qem]/S[dcl])/	| 1.000	| 0.000	| 0.000	| 6	|
| NT "S[qem]/S[dcl][co	| 1.000	| 0.000	| 0.000	| 1	|
| NT "NP/(S[dcl]\\NP)"	| 1.000	| 0.000	| 0.000	| 15	|
| NT "PP[conj]"	| 1.000	| 0.000	| 0.000	| 6	|
| NT "(S/S)/(S[pss]\\N	| 1.000	| 0.000	| 0.000	| 2	|
| NT "(S[dcl]\\NP)/S[f	| 1.000	| 0.000	| 0.000	| 3	|
| NT "S[for]"	| 1.000	| 0.000	| 0.000	| 10	|
| NT "S[for]/(S[to]\\N	| 1.000	| 0.000	| 0.000	| 10	|
| NT "(S[for]/(S[to]\\	| 1.000	| 0.000	| 0.000	| 10	|
| NT "((S[dcl]\\NP)/PP	| 1.000	| 0.000	| 0.000	| 2	|
| NT "(((S[dcl]\\NP)/P	| 1.000	| 0.000	| 0.000	| 1	|
| NT "NP/(S[dcl]/NP)"	| 1.000	| 0.000	| 0.000	| 24	|
| NT "(NP/(S[dcl]/NP))	| 1.000	| 0.000	| 0.000	| 2	|
| NT "N/PP"	| 1.000	| 0.000	| 0.000	| 4	|
| NT "(N/PP)/(S[adj]\\	| 1.000	| 0.000	| 0.000	| 4	|
| NT "(((S\\NP)\\(S\\N	| 1.000	| 0.000	| 0.000	| 1	|
| NT "((S[adj]\\NP)/PP	| 1.000	| 0.000	| 0.000	| 6	|
| NT "(S[dcl]\\NP[thr]	| 1.000	| 0.000	| 0.000	| 7	|
| NT "((NP\\NP)\\(NP\\	| 1.000	| 0.000	| 0.000	| 7	|
| NT "((S[dcl]\\NP)/(S	| 1.000	| 0.000	| 0.000	| 9	|
| NT "(S[dcl]\\NP)/S[q	| 1.000	| 0.000	| 0.000	| 23	|
| NT "PP/S[qem]"	| 1.000	| 0.000	| 0.000	| 1	|
| NT "(S/S)/(S[adj]\\N	| 1.000	| 0.000	| 0.000	| 11	|
| NT "((S[ng]\\NP)/(S[	| 1.000	| 0.000	| 0.000	| 6	|
| NT "((S\\NP)\\(S\\NP	| 1.000	| 0.000	| 0.000	| 4	|
| NT "S[poss]"	| 1.000	| 0.000	| 0.000	| 7	|
| NT "S[poss]/S[dcl]"	| 1.000	| 0.000	| 0.000	| 5	|
| NT "(S[dcl]\\NP[thr]	| 1.000	| 0.000	| 0.000	| 8	|
| NT "((S[ng]\\NP)/PP)	| 1.000	| 0.000	| 0.000	| 24	|
| NT "S[wq]"	| 1.000	| 0.000	| 0.000	| 31	|
| NT "S[wq]/(S[dcl]\\N	| 1.000	| 0.000	| 0.000	| 2	|
| NT "(S/S)/S[inv]"	| 1.000	| 0.000	| 0.000	| 2	|
| NT "(S[inv]/NP)/NP"	| 1.000	| 0.000	| 0.000	| 1	|
| NT "(S\\S)/S[dcl]"	| 1.000	| 0.000	| 0.000	| 18	|
| NT "((S[pt]\\NP)/PP)	| 1.000	| 0.000	| 0.000	| 13	|
| NT "S[q]"	| 1.000	| 0.000	| 0.000	| 31	|
| NT "((S[pt]\\NP)/(S[	| 1.000	| 0.000	| 0.000	| 6	|
| NT "S[q]/(S[b]\\NP)"	| 1.000	| 0.000	| 0.000	| 9	|
| NT "(S[q]/(S[b]\\NP)	| 1.000	| 0.000	| 0.000	| 8	|
| NT "(S[pt]\\NP)/S[em	| 1.000	| 0.000	| 0.000	| 18	|
| NT "S[wq]/(S[adj]\\N	| 1.000	| 0.000	| 0.000	| 1	|
| NT "S"	| 1.000	| 0.000	| 0.000	| 30	|
| NT "((NP\\NP)/(S[ng]	| 1.000	| 0.000	| 0.000	| 2	|
| NT "(S[b]\\NP)/S[b]"	| 1.000	| 0.000	| 0.000	| 1	|
| NT "S[b]"	| 1.000	| 0.000	| 0.000	| 27	|
| NT "(S\\NP)/(S\\NP)[	| 1.000	| 0.000	| 0.000	| 1	|
| NT "(S[dcl]\\NP)/S[w	| 1.000	| 0.000	| 0.000	| 3	|
| NT "S/S[conj]"	| 1.000	| 0.000	| 0.000	| 4	|
| NT "S[wq]/(S[q]/NP)"	| 1.000	| 0.000	| 0.000	| 4	|
| NT "S[q]/NP"	| 1.000	| 0.000	| 0.000	| 4	|
| NT "(S[b]\\NP)/(S[b]	| 1.000	| 0.000	| 0.000	| 14	|
| NT "(((S\\NP)\\(S\\N	| 1.000	| 0.000	| 0.000	| 9	|
| NT "((S[dcl]\\NP[exp	| 1.000	| 0.000	| 0.000	| 3	|
| NT "((S[b]\\NP)/S[em	| 1.000	| 0.000	| 0.000	| 1	|
| NT "S[frg]"	| 1.000	| 0.000	| 0.000	| 6	|
| NT "S[frg]/NP"	| 1.000	| 0.000	| 0.000	| 2	|
| NT "(S\\S)/(S[b]\\NP	| 1.000	| 0.000	| 0.000	| 1	|
| NT "(S/S)/PP"	| 1.000	| 0.000	| 0.000	| 11	|
| NT "((S[adj]\\NP)/S[	| 1.000	| 0.000	| 0.000	| 3	|
| NT "(S[pss]\\NP)/S[d	| 1.000	| 0.000	| 0.000	| 4	|
| NT "S[qem][conj]"	| 1.000	| 0.000	| 0.000	| 2	|
| NT "((S\\NP)\\(S\\NP	| 1.000	| 0.000	| 0.000	| 4	|
| NT "(((S\\NP)\\(S\\N	| 1.000	| 0.000	| 0.000	| 2	|
| NT "((S[adj]\\NP)/(S	| 1.000	| 0.000	| 0.000	| 8	|
| NT "(((S\\NP)\\(S\\N	| 1.000	| 0.000	| 0.000	| 1	|
| NT "conj/PP"	| 1.000	| 0.000	| 0.000	| 1	|
| NT "(S[ng]\\NP)/S[be	| 1.000	| 0.000	| 0.000	| 3	|
| NT "S[bem]"	| 1.000	| 0.000	| 0.000	| 3	|
| NT "S[bem]/S[b]"	| 1.000	| 0.000	| 0.000	| 3	|
| NT "((S[ng]\\NP)/NP)	| 1.000	| 0.000	| 0.000	| 1	|
| NT "((S[ng]\\NP)/(S[	| 1.000	| 0.000	| 0.000	| 12	|
| NT "((S\\NP)\\(S\\NP	| 1.000	| 0.000	| 0.000	| 30	|
| NT "((S\\NP)\\(S\\NP	| 1.000	| 0.000	| 0.000	| 1	|
| NT "S[to]"	| 1.000	| 0.000	| 0.000	| 1	|
| NT "S[to]/(S[b]\\NP)	| 1.000	| 0.000	| 0.000	| 1	|
| NT "(NP/NP)/NP"	| 1.000	| 0.000	| 0.000	| 2	|
| NT "(S[ng]\\NP)/(S[p	| 1.000	| 0.000	| 0.000	| 4	|
| NT "((NP\\NP)\\NP)/N	| 1.000	| 0.000	| 0.000	| 1	|
| NT "(S\\NP)\\((S\\NP	| 1.000	| 0.000	| 0.000	| 13	|
| NT "(S[dcl]\\NP)/(S[	| 1.000	| 0.000	| 0.000	| 1	|
| NT "S[b][conj]"	| 1.000	| 0.000	| 0.000	| 2	|
| NT "((S[b]\\NP)/(S[b	| 1.000	| 0.000	| 0.000	| 5	|
| NT "(S[ng]\\NP)/S[dc	| 1.000	| 0.000	| 0.000	| 8	|
| NT "((S[ng]\\NP)/S[d	| 1.000	| 0.000	| 0.000	| 2	|
| NT "((S[dcl]\\NP)/(S	| 1.000	| 0.000	| 0.000	| 3	|
| NT "((S/S)\\(S/S))/N	| 1.000	| 0.000	| 0.000	| 2	|
| NT "(S[adj]\\NP)/S[d	| 1.000	| 0.000	| 0.000	| 8	|
| NT "((S[adj]\\NP)/S[	| 1.000	| 0.000	| 0.000	| 4	|
| NT "S[wq]/N"	| 1.000	| 0.000	| 0.000	| 1	|
| NT "S[dcl]\\PP"	| 1.000	| 0.000	| 0.000	| 6	|
| NT "(S[dcl]\\PP)/NP"	| 1.000	| 0.000	| 0.000	| 3	|
| NT "NP/(NP\\NP)"	| 1.000	| 0.000	| 0.000	| 5	|
| NT "((NP\\NP)/(S[dcl	| 1.000	| 0.000	| 0.000	| 5	|
| NT "(S/S)/(S[b]\\NP)	| 1.000	| 0.000	| 0.000	| 3	|
| NT "((S/S)/(S[b]\\NP	| 1.000	| 0.000	| 0.000	| 3	|
| NT "S[dcl]/S[inv]"	| 1.000	| 0.000	| 0.000	| 1	|
| NT "(PP\\PP)/NP"	| 1.000	| 0.000	| 0.000	| 7	|
| NT "(S[b]\\NP)/S[dcl	| 1.000	| 0.000	| 0.000	| 24	|
| NT "((S\\NP)/(S\\NP)	| 1.000	| 0.000	| 0.000	| 3	|
| NT "(((S\\NP)\\(S\\N	| 1.000	| 0.000	| 0.000	| 8	|
| NT "(((S\\NP)\\(S\\N	| 1.000	| 0.000	| 0.000	| 1	|
| NT "((((S\\NP)\\(S\\	| 1.000	| 0.000	| 0.000	| 1	|
| NT "(NP\\NP)/(S[to]\	| 1.000	| 0.000	| 0.000	| 7	|
| NT "((NP\\NP)/(S[to]	| 1.000	| 0.000	| 0.000	| 3	|
| NT "S[pt]\\NP[conj]"	| 1.000	| 0.000	| 0.000	| 9	|
| NT "((S[adj]\\NP)\\(	| 1.000	| 0.000	| 0.000	| 3	|
| NT "(((S\\NP)\\(S\\N	| 1.000	| 0.000	| 0.000	| 2	|
| NT "((N/N)\\(N/N))/(	| 1.000	| 0.000	| 0.000	| 1	|
| NT "((S[dcl]\\NP)/(S	| 1.000	| 0.000	| 0.000	| 3	|
| NT "((S\\NP)/(S\\NP)	| 1.000	| 0.000	| 0.000	| 1	|
| NT "(((S\\NP)/(S\\NP	| 1.000	| 0.000	| 0.000	| 1	|
| NT "(NP\\NP)/S[qem]"	| 1.000	| 0.000	| 0.000	| 5	|
| NT "((NP\\NP)/(S[to]	| 1.000	| 0.000	| 0.000	| 3	|
| NT "(S[dcl]\\S[qem])	| 1.000	| 0.000	| 0.000	| 1	|
| NT "(NP\\NP)/S[b]"	| 1.000	| 0.000	| 0.000	| 1	|
| NT "PP\\NP"	| 1.000	| 0.000	| 0.000	| 6	|
